participant	trial	det	noun	lemma	target_lemma	noun.end	last_a	root.end	es.gender	eu.syl.num	es	en	detGender	detNumber	lemma_phon_gender	noun_phon_gender	analogical	phon_lemma	phon_noun	default_f	default_m	repetition	fluidgen
1	2	la	ezti-a	ezti	ezti	a	1	i	f	2	miel	honey	f	s	m	f	1	0	1	1	0	0	
1	5	el	eraztun-a	eraztun	eraztun	a	1	n	m	3	anillo	ring	m	s	m	f	1	1	0	0	1	0	
1	6	el	komun-a	komun	komun	a	1	n	m	2	cuarto de baño	toilet	m	s	m	f	1	1	0	0	1	1	
1	9	el	komun-a	komun	komun	a	1	n	m	2	cuarto de baño	toilet	m	s	m	f	1	1	0	0	1	1	
1	10	la	bekain-a	bekain	bekain	a	1	n	f	2	ceja	eyebrow	f	s	m	f	1	0	1	1	0	0	
1	14	la	hosto-a	hosto	hosto	a	1	o	f	2	hoja	leaf	f	s	m	f	1	0	1	1	0	0	
1	18	el	begi-a	begi	begi	a	1	i	m	2	ojo	eye	m	s	m	f	1	1	0	0	1	0	
1	22	el	errota	errota	errota	a	1	a	m	3	molino	mill	m	s	f	f	1	0	0	0	1	0	
1	25	el	beso-a	beso	beso	a	1	o	m	2	brazo	arm	m	s	m	f	1	1	0	0	1	0	
1	28	la	belaun-a	belaun	belaun	a	1	n	f	2	rodilla	knee	f	s	m	f	1	0	1	1	0	0	
1	33	la	txanpon-a	txanpon	txanpon	a	1	n	f	2	moneda	coin	f	s	m	f	1	0	1	1	0	0	
1	34	la	leiho-a	leiho	leiho	a	1	o	f	2	ventana	window	f	s	m	f	1	0	1	1	0	0	
1	35	el	uda	uda	uda	a	1	a	m	2	verano	summer	m	s	f	f	1	0	0	0	1	0	
1	36	el	gazta	gazta	gazta	a	1	a	m	2	queso	cheese	m	s	f	f	1	0	0	0	1	0	
1	39	el	zubi-a	zubi	zubi	a	1	i	m	2	puente	bridge	m	s	m	f	1	1	0	0	1	0	
1	40	la	euri-a	euri	euri	a	1	i	f	2	lluvia	rain	f	s	m	f	1	0	1	1	0	0	
1	41	la	gezi-a	gezi	gezi	a	1	i	f	2	flecha	arrow	f	s	m	f	1	0	1	1	0	0	
1	42	el	moko-a	moko	moko	a	1	o	m	2	pico	beak	m	s	m	f	1	1	0	0	1	0	
1	44	la	ur-tanta	ur-tanta	tanta	a	1	a	f	3	gota	drop	f	s	f	f	1	1	1	1	0	0	
1	46	el	lepo-a	lepo	lepo	a	1	o	m	2	cuello	neck	m	s	m	f	1	1	0	0	1	0	
1	48	la	gona	gona	gona	a	1	a	f	2	falda	skirt	f	s	f	f	1	1	1	1	0	0	
1	49	la	soka	soka	soka	a	1	a	f	2	cuerda	rope	f	s	f	f	1	1	1	1	0	0	
1	50	el	soineko-a	soineko	soineko	a	1	o	m	3	vestido	dress	m	s	m	f	1	1	0	0	1	0	
1	51	el	ogi-a	ogi	ogi	a	1	i	m	2	pan	bread	m	s	m	f	1	1	0	0	1	0	
1	53	el	pospolo	pospolo	pospolo	o	0	o	f	3	cerilla	match	m	s	m	m	0	1	1	0	1	0	
1	54	la	malko-a	malko	malko	a	1	o	f	2	lágrima	tear	f	s	m	f	1	0	1	1	0	0	
1	56	la	ilargi-a	ilargi	ilargi	a	1	i	f	3	luna	moon	f	s	m	f	1	0	1	1	0	0	
1	57	la	tipula	tipula	tipula	a	1	a	f	3	cebolla	onion	f	s	f	f	1	1	1	1	0	0	
1	58	el	eguzki-a	eguzki	eguzki	a	1	i	m	3	sol	sun	m	s	m	f	1	1	0	0	1	0	
10	1	la	euri-a	euri	euri	a	1	i	f	2	lluvia	rain	f	s	m	f	1	0	1	1	0	0	
10	3	el	moko	moko	moko	o	0	o	m	2	pico	beak	m	s	m	m	1	1	1	0	1	0	
10	3	la	gona	gona	gona	a	1	a	f	2	falda	skirt	f	s	f	f	1	1	1	1	0	0	
10	4	el	pospolo	pospolo	pospolo	o	0	o	f	3	cerilla	match	m	s	m	m	0	1	1	0	1	0	
10	5	el	gazta	gazta	gazta	a	1	a	m	2	queso	cheese	m	s	f	f	1	0	0	0	1	0	
10	6	el	lepo	lepo	lepo	o	0	o	m	2	cuello	neck	m	s	m	m	1	1	1	0	1	0	
10	7	la	tipula	tipula	tipula	a	1	a	f	3	cebolla	onion	f	s	f	f	1	1	1	1	0	0	
10	10	el	errota	errota	errota	a	1	a	m	3	molino	mill	m	s	f	f	1	0	0	0	1	0	
10	11	la	babarrun	babarrun	babarrun	n	0	n	f	3	alubia	bean	f	s	m	m	1	0	0	1	0	0	
10	12	la	bekain	bekain	bekain	n	0	n	f	2	ceja	eyebrow	f	s	m	m	1	0	0	1	0	0	
10	13	el	uda	uda	uda	a	1	a	m	2	verano	summer	m	s	f	f	1	0	0	0	1	0	
10	16	la	soka	soka	soka	a	1	a	f	2	cuerda	rope	f	s	f	f	1	1	1	1	0	0	
10	17	el	eguzki	eguzki	eguzki	i	0	i	m	3	sol	sun	m	s	m	m	1	1	1	0	1	0	
10	18	el	ogi	ogi	ogi	i	0	i	m	2	pan	bread	m	s	m	m	1	1	1	0	1	1	
10	19	el	ogi-a	ogi	ogi	a	1	i	m	2	pan	bread	m	s	m	f	1	1	0	0	1	1	
10	20	la	txanpon	txanpon	txanpon	n	0	n	f	2	moneda	coin	f	s	m	m	1	0	0	1	0	0	
10	21	el	hosto	hosto	hosto	o	0	o	f	2	hoja	leaf	m	s	m	m	0	1	1	0	1	0	
10	22	el	malko	malko	malko	o	0	o	f	2	lágrima	tear	m	s	m	m	0	1	1	0	1	0	
10	23	la	leiho	leiho	leiho	o	0	o	f	2	ventana	window	f	s	m	m	1	0	0	1	0	0	
10	24	la	belaun-a	belaun	belaun	a	1	n	f	2	rodilla	knee	f	s	m	f	1	0	1	1	0	0	
10	26	el	zubi	zubi	zubi	i	0	i	m	2	puente	bridge	m	s	m	m	1	1	1	0	1	0	
10	27	la	gezi	gezi	gezi	i	0	i	f	2	flecha	arrow	f	s	m	m	1	0	0	1	0	0	
10	29	la	ezti	ezti	ezti	i	0	i	f	2	miel	honey	f	s	m	m	1	0	0	1	0	0	
10	30	el	komun	komun	komun	n	0	n	m	2	cuarto de baño	toilet	m	s	m	m	1	1	1	0	1	1	*
10	31	la	komun-a	komun	komun	a	1	n	m	2	cuarto de baño	toilet	f	s	m	f	0	0	1	1	0	1	*
10	32	el	begi	begi	begi	i	0	i	m	2	ojo	eye	m	s	m	m	1	1	1	0	1	0	
10	33	la	tanta	tanta	tanta	a	1	a	f	2	gota	drop	f	s	f	f	1	1	1	1	0	0	
10	34	el	beso	beso	beso	o	0	o	m	2	brazo	arm	m	s	m	m	1	1	1	0	1	0	
10	35	el	soineko	soineko	soineko	o	0	o	m	3	vestido	dress	m	s	m	m	1	1	1	0	1	0	
10	36	el	eraztun	eraztun	eraztun	n	0	n	m	3	anillo	ring	m	s	m	m	1	1	1	0	1	0	
2	1	la	ezti-a	ezti	ezti	a	1	i	f	2	miel	honey	f	s	m	f	1	0	1	1	0	1	
2	2	el	eraztun-a	eraztun	eraztun	a	1	n	m	3	anillo	ring	m	s	m	f	1	1	0	0	1	0	
2	3	la	ezti-a	ezti	ezti	a	1	i	f	2	miel	honey	f	s	m	f	1	0	1	1	0	1	
2	3	el	komun-a	komun	komun	a	1	n	m	2	cuarto de baño	toilet	m	s	m	f	1	1	0	0	1	1	
2	4	la	ezti-a	ezti	ezti	a	1	i	f	2	miel	honey	f	s	m	f	1	0	1	1	0	1	
2	4	la	bekain-a	bekain	bekain	a	1	n	f	2	ceja	eyebrow	f	s	m	f	1	0	1	1	0	1	
2	6	el	hosto-a	hosto	hosto	a	1	o	f	2	hoja	leaf	m	s	m	f	0	1	0	0	1	1	*
2	7	el	komun	komun	komun	n	0	n	m	2	cuarto de baño	toilet	m	s	m	m	1	1	1	0	1	1	
2	7	el	begi-a	begi	begi	a	1	i	m	2	ojo	eye	m	s	m	f	1	1	0	0	1	0	
2	8	el	komun-a	komun	komun	a	1	n	m	2	cuarto de baño	toilet	m	s	m	f	1	1	0	0	1	1	
2	8	el	errota	errota	errota	a	1	a	m	3	molino	mill	m	s	f	f	1	0	0	0	1	1	
2	9	el	gazta	gazta	gazta	a	1	a	m	2	queso	cheese	m	s	f	f	1	0	0	0	1	1	
2	10	el	eguzki-a	eguzki	uda	a	1	i	m	3	sol	sun	m	s	m	f	1	1	0	0	1	1	
2	11	la	bekain-a	bekain	bekain	a	1	n	f	2	ceja	eyebrow	f	s	m	f	1	0	1	1	0	1	
2	11	el	leiho-a	leiho	leiho	a	1	o	f	2	ventana	window	m	s	m	f	0	1	0	0	1	0	
2	13	la	txanpon-a	txanpon	txanpon	a	1	n	f	2	moneda	coin	f	s	m	f	1	0	1	1	0	0	
2	14	la	zartagi-a	zartagin	zartagin	a	1	n	f	3	sartén	pan	f	s	m	f	1	0	1	1	0	0	
2	15	la	hosto-a	hosto	hosto	a	1	o	f	2	hoja	leaf	f	s	m	f	1	0	1	1	0	1	*
2	15	la	belaun-a	belaun	belaun	a	1	n	f	2	rodilla	knee	f	s	m	f	1	0	1	1	0	1	
2	16	la	hosto-a	hosto	hosto	a	1	o	f	2	hoja	leaf	f	s	m	f	1	0	1	1	0	1	*
2	17	la	hosto-a	hosto	hosto	a	1	o	f	2	hoja	leaf	f	s	m	f	1	0	1	1	0	1	*
2	18	el	beso-a	beso	beso	a	1	o	m	2	brazo	arm	m	s	m	f	1	1	0	0	1	1	
2	19	el	zubi-a	zubi	zubi	a	1	i	m	2	puente	bridge	m	s	m	f	1	1	0	0	1	0	
2	21	la	gezi-a	gezi	gezi	a	1	i	f	2	flecha	arrow	f	s	m	f	1	0	1	1	0	1	
2	22	la	gezi-a	gezi	gezi	a	1	i	f	2	flecha	arrow	f	s	m	f	1	0	1	1	0	1	
2	23	el	errota	errota	errota	a	1	a	m	3	molino	mill	m	s	f	f	1	0	0	0	1	1	
2	23	la	moko-a	moko	moko	a	1	o	m	2	pico	beak	f	s	m	f	0	0	1	1	0	1	*
2	24	el	moko-a	moko	moko	a	1	o	m	2	pico	beak	m	s	m	f	1	1	0	0	1	1	*
2	25	el	ur-tanta	ur-tanta	tanta	a	1	a	f	3	gota	drop	m	s	f	f	0	0	0	0	1	0	
2	26	el	beso-a	beso	beso	a	1	o	m	2	brazo	arm	m	s	m	f	1	1	0	0	1	1	
2	26	el	lepo-a	lepo	lepo	a	1	o	m	2	cuello	neck	m	s	m	f	1	1	0	0	1	0	
2	27	la	gona	gona	gona	a	1	a	f	2	falda	skirt	f	s	f	f	1	1	1	1	0	0	
2	28	la	soka	soka	soka	a	1	a	f	2	cuerda	rope	f	s	f	f	1	1	1	1	0	0	
2	29	la	belaun-a	belaun	belaun	a	1	n	f	2	rodilla	knee	f	s	m	f	1	0	1	1	0	1	
2	29	el	eguzki-a	eguzki	eguzki	a	1	i	m	3	sol	sun	m	s	m	f	1	1	0	0	1	1	
2	30	la	tipula	tipula	tipula	a	1	a	f	3	cebolla	onion	f	s	f	f	1	1	1	1	0	0	
2	31	la	ilargi-a	ilargi	ilargi	a	1	i	f	3	luna	moon	f	s	m	f	1	0	1	1	0	0	
2	32	la	malko-a	malko	malko	a	1	o	f	2	lágrima	tear	f	s	m	f	1	0	1	1	0	0	
2	33	el	pospolo	pospolo	pospolo	o	0	o	f	3	cerilla	match	m	s	m	m	0	1	1	0	1	0	
2	35	el	ogi-a	ogi	ogi	a	1	i	m	2	pan	bread	m	s	m	f	1	1	0	0	1	0	
2	37	el	gazta	gazta	gazta	a	1	a	m	2	queso	cheese	m	s	f	f	1	0	0	0	1	1	
2	38	el	soineko	soineko	soineko	o	0	o	m	3	vestido	dress	m	s	m	m	1	1	1	0	1	0	
2	43	el	moko-a	moko	moko	a	1	o	m	2	pico	beak	m	s	m	f	1	1	0	0	1	1	*
3	10	el	gona	gona	gona	a	1	a	f	2	falda	skirt	m	s	f	f	0	0	0	0	1	0	
3	12	el	leiho-a	leiho	leiho	a	1	o	f	2	ventana	window	m	s	m	f	0	1	0	0	1	1	*
3	13	la	leiho-a	leiho	leiho	a	1	o	f	2	ventana	window	f	s	m	f	1	0	1	1	0	1	*
3	14	la	malko-a	malko	malko	a	1	o	f	2	lágrima	tear	f	s	m	f	1	0	1	1	0	1	
3	15	la	belaun-a	belaun	belaun	a	1	n	f	2	rodilla	knee	f	s	m	f	1	0	1	1	0	0	
3	16	el	soineko	soineko	soineko	o	0	o	m	3	vestido	dress	m	s	m	m	1	1	1	0	1	0	
3	17	el	gazta	gazta	gazta	a	1	a	m	2	queso	cheese	m	s	f	f	1	0	0	0	1	0	
3	18	el	zubi-a	zubi	zubi	a	1	i	m	2	puente	bridge	m	s	m	f	1	1	0	0	1	0	
3	19	la	hosto-a	hosto	hosto	a	1	o	f	2	hoja	leaf	f	s	m	f	1	0	1	1	0	0	
3	20	la	txanpon-a	txanpon	txanpon	a	1	n	f	2	moneda	coin	f	s	m	f	1	0	1	1	0	0	
3	22	el	pospolo	pospolo	pospolo	o	0	o	f	3	cerilla	match	m	s	m	m	0	1	1	0	1	0	
3	23	el	eguzki	eguzki	eguzki	i	0	i	m	3	sol	sun	m	s	m	m	1	1	1	0	1	0	
3	24	el	errota	errota	errota	a	1	a	m	3	molino	mill	m	s	f	f	1	0	0	0	1	0	
3	25	el	lepo-a	lepo	lepo	a	1	o	m	2	cuello	neck	m	s	m	f	1	1	0	0	1	0	
3	27	la	euri-a	euri	euri	a	1	i	f	2	lluvia	rain	f	s	m	f	1	0	1	1	0	0	
3	28	el	ogi-a	ogi	ogi	a	1	i	m	2	pan	bread	m	s	m	f	1	1	0	0	1	0	
3	29	la	malko-a	malko	tanta	a	1	o	f	2	lágrima	tear	f	s	m	f	1	0	1	1	0	1	
3	31	la	malko-a	malko	malko	a	1	o	f	2	lágrima	tear	f	s	m	f	1	0	1	1	0	1	
3	32	el	moko-a	moko	moko	a	1	o	m	2	pico	beak	m	s	m	f	1	1	0	0	1	0	
3	33	la	ilargi	ilargi	ilargi	i	0	i	f	3	luna	moon	f	s	m	m	1	0	0	1	0	0	
3	34	el	komun-a	komun	komun	a	1	n	m	2	cuarto de baño	toilet	m	s	m	f	1	1	0	0	1	0	
3	35	el	ezpain-a	ezpain	ezpain	a	1	n	m	2	labio	lip	m	s	m	f	1	1	0	0	1	0	
3	36	el	uda	uda	uda	a	1	a	m	2	verano	summer	m	s	f	f	1	0	0	0	1	0	
3	37	una	gezi-a	gezi	gezi	a	1	i	f	2	flecha	arrow	f	s	m	f	1	0	1	1	0	0	
3	38	un	eraztun-a	eraztun	eraztun	a	1	n	m	3	anillo	ring	m	s	m	f	1	1	0	0	1	0	
3	40	el	begi-a	begi	begi	a	1	i	m	2	ojo	eye	m	s	m	f	1	1	0	0	1	0	
4	1	la	tipula	tipula	tipula	a	1	a	f	3	cebolla	onion	f	s	f	f	1	1	1	1	0	0	
4	3	la	ezti-a	ezti	ezti	a	1	i	f	2	miel	honey	f	s	m	f	1	0	1	1	0	0	
4	4	la	soka	soka	soka	a	1	a	f	2	cuerda	rope	f	s	f	f	1	1	1	1	0	0	
4	5	el	beso-a	beso	beso	a	1	o	m	2	brazo	arm	m	s	m	f	1	1	0	0	1	1	
4	6	el	beso-a	beso	beso	a	1	o	m	2	brazo	arm	m	s	m	f	1	1	0	0	1	1	
4	6	el	begi-a	begi	bekain	a	1	i	m	2	ojo	eye	m	s	m	f	1	1	0	0	1	1	*
4	7	el	beso-a	beso	beso	a	1	o	m	2	brazo	arm	m	s	m	f	1	1	0	0	1	1	
4	7	la	gona	gona	gona	a	1	a	f	2	falda	skirt	f	s	f	f	1	1	1	1	0	0	
4	8	el	beso-a	beso	beso	a	1	o	m	2	brazo	arm	m	s	m	f	1	1	0	0	1	1	
4	8	la	leiho-a	leiho	leiho	a	1	o	f	2	ventana	window	f	s	m	f	1	0	1	1	0	0	
4	9	la	begi-a	begi	malko	a	1	i	m	2	ojo	eye	f	s	m	f	0	0	1	1	0	1	*
4	10	la	belaun-a	belaun	belaun	a	1	n	f	2	rodilla	knee	f	s	m	f	1	0	1	1	0	0	
4	11	el	soineko	soineko	soineko	o	0	o	m	3	vestido	dress	m	s	m	m	1	1	1	0	1	0	
4	12	el	gazta	gazta	gazta	a	1	a	m	2	queso	cheese	m	s	f	f	1	0	0	0	1	0	
4	13	el	zubi-a	zubi	zubi	a	1	i	m	2	puente	bridge	m	s	m	f	1	1	0	0	1	0	
4	14	la	hosto-a	hosto	hosto	a	1	o	f	2	hoja	leaf	f	s	m	f	1	0	1	1	0	0	
4	15	la	txanpon-a	txanpon	txanpon	a	1	n	f	2	moneda	coin	f	s	m	f	1	0	1	1	0	0	
4	17	la	pospolo-a	pospolo	pospolo	a	1	o	f	3	cerilla	match	f	s	m	f	1	0	1	1	0	0	
4	18	el	eguzki	eguzki	eguzki	i	0	i	m	3	sol	sun	m	s	m	m	1	1	1	0	1	0	
4	19	el	errota	errota	errota	a	1	a	m	3	molino	mill	m	s	f	f	1	0	0	0	1	0	
4	20	el	lepo-a	lepo	lepo	a	1	o	m	2	cuello	neck	m	s	m	f	1	1	0	0	1	0	
4	22	el	ogi-a	ogi	ogi	a	1	i	m	2	pan	bread	m	s	m	f	1	1	0	0	1	0	
4	23	la	tanta	tanta	tanta	a	1	a	f	2	gota	drop	f	s	f	f	1	1	1	1	0	1	
4	25	una	tanta	tanta	tanta	a	1	a	f	2	gota	drop	f	s	f	f	1	1	1	1	0	1	
4	26	una	malko-a	malko	tanta	a	1	o	f	2	lágrima	tear	f	s	m	f	1	0	1	1	0	0	
4	28	el	moko-a	moko	moko	a	1	o	m	2	pico	beak	m	s	m	f	1	1	0	0	1	0	
4	29	la	ilargi	ilargi	ilargi	i	0	i	f	3	luna	moon	f	s	m	m	1	0	0	1	0	0	
4	30	el	komun-a	komun	komun	a	1	n	m	2	cuarto de baño	toilet	m	s	m	f	1	1	0	0	1	0	
4	32	la	uda	uda	uda	a	1	a	m	2	verano	summer	f	s	f	f	0	1	1	1	0	0	
4	33	la	gezi-a	gezi	gezi	a	1	i	f	2	flecha	arrow	f	s	m	f	1	0	1	1	0	0	
4	34	el	eraztun-a	eraztun	eraztun	a	1	n	m	3	anillo	ring	m	s	m	f	1	1	0	0	1	0	
5	1	el	eguzki	eguzki	eguzki	i	0	i	m	3	sol	sun	m	s	m	m	1	1	1	0	1	0	
5	3	la	ilargi-a	ilargi	ilargi	a	1	i	f	3	luna	moon	f	s	m	f	1	0	1	1	0	0	
5	4	la	leiho-a	leiho	leiho	a	1	o	f	2	ventana	window	f	s	m	f	1	0	1	1	0	0	
5	8	la	errota	errota	errota	a	1	a	m	3	molino	mill	f	s	f	f	0	1	1	1	0	0	
5	10	la	moko-a	moko	moko	a	1	o	m	2	pico	beak	f	s	m	f	0	0	1	1	0	0	
5	11	la	lepo-a	lepo	lepo	a	1	o	m	2	cuello	neck	f	s	m	f	0	0	1	1	0	0	
5	13	la	komun-a	komun	komun	a	1	n	m	2	cuarto de baño	toilet	f	s	m	f	0	0	1	1	0	0	
5	18	la	pospolo	pospolo	pospolo	o	0	o	f	3	cerilla	match	f	s	m	m	1	0	0	1	0	0	
5	19	la	txanpon-a	txanpon	txanpon	a	1	n	f	2	moneda	coin	f	s	m	f	1	0	1	1	0	0	
5	21	la	malko-a	malko	malko	a	1	o	f	2	lágrima	tear	f	s	m	f	1	0	1	1	0	0	
5	23	el	zubi-a	zubi	zubi	a	1	i	m	2	puente	bridge	m	s	m	f	1	1	0	0	1	0	
5	24	la	belaun-a	belaun	belaun	a	1	n	f	2	rodilla	knee	f	s	m	f	1	0	1	1	0	0	
5	25	el	ogi-a	ogi	ogi	a	1	i	m	2	pan	bread	m	s	m	f	1	1	0	0	1	0	
5	26	el	beso-a	beso	beso	a	1	o	m	2	brazo	arm	m	s	m	f	1	1	0	0	1	0	
5	28	la	bekain-a	bekain	bekain	a	1	n	f	2	ceja	eyebrow	f	s	m	f	1	0	1	1	0	0	
5	29	la	gezi-a	gezi	gezi	a	1	i	f	2	flecha	arrow	f	s	m	f	1	0	1	1	0	0	
5	31	la	tanta	tanta	tanta	a	1	a	f	2	gota	drop	f	s	f	f	1	1	1	1	0	0	
5	32	la	soka	soka	soka	a	1	a	f	2	cuerda	rope	f	s	f	f	1	1	1	1	0	0	
5	33	la	tipula	tipula	tipula	a	1	a	f	3	cebolla	onion	f	s	f	f	1	1	1	1	0	0	
5	34	el	begi-a	begi	begi	a	1	i	m	2	ojo	eye	m	s	m	f	1	1	0	0	1	0	
5	35	el	eraztun-a	eraztun	eraztun	a	1	n	m	3	anillo	ring	m	s	m	f	1	1	0	0	1	0	
5	36	el	ezti-a	ezti	ezti	a	1	i	f	2	miel	honey	m	s	m	f	0	1	0	0	1	0	
5	39	el	galtza	galtza	galtza	a	1	a	m	2	pantalón	trouser	m	s	f	f	1	0	0	0	1	0	
5	40	el	soineko	soineko	soineko	o	0	o	m	3	vestido	dress	m	s	m	m	1	1	1	0	1	0	
5	41	la	gona	gona	gona	a	1	a	f	2	falda	skirt	f	s	f	f	1	1	1	1	0	0	
5	42	el	gazta	gazta	gazta	a	1	a	m	2	queso	cheese	m	s	f	f	1	0	0	0	1	0	
5	44	el	uda	uda	uda	a	1	a	m	2	verano	summer	m	s	f	f	1	0	0	0	1	0	
6	1	el	eguzki	eguzki	eguzki	i	0	i	m	3	sol	sun	m	s	m	m	1	1	1	0	1	1	
6	2	el	eguzki	eguzki	eguzki	i	0	i	m	3	sol	sun	m	s	m	m	1	1	1	0	1	1	
6	2	la	ilargi	ilargi	ilargi	i	0	i	f	3	luna	moon	f	s	m	m	1	0	0	1	0	0	
6	3	la	leiho-a	leiho	leiho	a	1	o	f	2	ventana	window	f	s	m	f	1	0	1	1	0	0	
